CNN,STREET,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
21994000,Diamond Heights Blvd: Diamond St Intersection,100,DIAMOND ST,Intersection,11/8/17,Treatment,No,
4782201,Diamond Heights Blvd,100,Diamond St,Berkeley Way,11/8/17,Treatment,Yes,Arterial
4782101,Diamond Heights Blvd,100,Diamond St,Berkeley Way,11/8/17,Treatment,Yes,Arterial
4779101,Diamond Heights Blvd,100,Diamond St,Addison St \ Gold Mine Dr,11/8/17,Treatment,Yes,Arterial
27946000,45th Ave: Judah St Intersection,100,JUDAH ST,Intersection,10/27/17,Treatment,No,
2221001,Alta St,93,End,End,10/22/17,Survey,Yes,Residential
12834000,Union St,96,Icehouse Aly,Sansome St,10/22/17,Survey,Yes,Residential
12833000,Union St,96,Battery St,Icehouse Aly,10/22/17,Survey,Yes,Residential
5226000,Emery Ln,84,Vallejo St,End,10/21/17,Survey,Yes,Residential
4718000,Derby St,84,Mason St,End,10/21/17,Survey,Yes,Residential
13099001,Vallejo St,94,Alta Vista Ter,Taylor St,10/21/17,Survey,Yes,Residential
10378000,Peru Ave,100,Edinburgh St,Naples St,10/20/17,Treatment,Yes,Residential
21714000,Edinburgh St: France Ave Intersection,100,FRANCE AVE,Intersection,10/20/17,Treatment,No,
21713000,France Ave: Naples St Intersection,100,NAPLES ST,Intersection,10/20/17,Treatment,No,
21691000,Avalon Ave: Lisbon St Intersection,100,LISBON ST,Intersection,10/20/17,Treatment,No,
21688000,Avalon Ave: Lisbon St Intersection,100,LISBON ST,Intersection,10/20/17,Treatment,No,
10377000,Peru Ave,100,Madrid St,Edinburgh St,10/20/17,Treatment,Yes,Residential
10376000,Peru Ave,100,Lisbon St,Madrid St,10/20/17,Treatment,Yes,Residential
12462000,Taylor St,83,Francisco St,End,10/19/17,Survey,Yes,Residential
12459000,Taylor St,95,Lombard St,Chestnut St \ Columbus Ave,10/19/17,Survey,Yes,Residential
4781201,Diamond Heights Blvd,100,Berkeley Way,Diamond St,10/19/17,Treatment,Yes,Arterial
6400000,Grant Ave,95,Broadway,Columbus Ave,10/19/17,Survey,Yes,Residential
10610000,Diamond Heights Blvd,100,Clipper St,Burnett Ave \ Portola Dr,10/19/17,Treatment,Yes,Arterial
12456000,Taylor St,95,Filbert St,Valparaiso St,10/19/17,Survey,Yes,Residential
4781101,Diamond Heights Blvd,100,Berkeley Way,Diamond St,10/18/17,Treatment,Yes,Arterial
4778101,Diamond Heights Blvd,100,Gold Mine Dr,Diamond St,10/18/17,Treatment,Yes,Arterial
7515001,JESSIE ST,67,END,ECKER ST,10/18/17,Survey,Yes,
21990000,Addison St: Diamond Heights Blvd \ Gold Mine Dr Intersection,100,DIAMOND HEIGHTS BLVD \ GOLD MINE DR,Intersection,10/18/17,Treatment,No,
12177000,Stevenson St,41,Gough St,End,10/18/17,Survey,Yes,Residential
4780201,Diamond Heights Blvd,100,Addison St \ Gold Mine Dr,Berkeley Way,10/18/17,Treatment,Yes,Arterial
4780101,Diamond Heights Blvd,100,Addison St \ Gold Mine Dr,Berkeley Way,10/18/17,Treatment,Yes,Arterial
21991000,Berkeley Way: Diamond Heights Blvd Intersection,100,DIAMOND HEIGHTS BLVD,Intersection,10/18/17,Treatment,No,
4778201,Diamond Heights Blvd,100,Gold Mine Dr,Diamond St,10/18/17,Treatment,Yes,Arterial
3305000,Bryant St,100,16th St,17th St,10/17/17,Treatment,Yes,Collector
3302000,Bryant St,100,Division St,Alameda St,10/17/17,Treatment,Yes,Collector
12163000,Steveloe Pl,95,Jones St,End,10/17/17,Survey,Yes,Residential
3304000,Bryant St,100,15th St,16th St,10/17/17,Treatment,Yes,Collector
3303000,Bryant St,100,Alameda St,15th St,10/17/17,Treatment,Yes,Collector
2303000,Anthony St,79,Jessie St,End,10/17/17,Survey,Yes,Residential
24213000,15th St: Bryant St Intersection,100,BRYANT ST,Intersection,10/17/17,Treatment,No,
3306000,Bryant St,100,17th St,Mariposa St,10/17/17,Treatment,Yes,Collector
24215000,Alameda St: Bryant St Intersection,100,BRYANT ST,Intersection,10/17/17,Treatment,No,
4362000,Converse St,95,End,Bryant St,10/17/17,Survey,Yes,Residential
11184000,Russ St,83,Tulip Aly,Natoma St,10/17/17,Survey,Yes,Residential
24024000,Bryant St: Mariposa St Intersection,100,MARIPOSA ST,Intersection,10/17/17,Treatment,No,
686000,16th Ave,91,Noriega St,Ortega St,10/16/17,Treatment,Yes,Residential
1095000,21st Ave,80,Ocean Ave,Eucalyptus Dr,10/16/17,Treatment,Yes,Residential
5079000,Edgar Ave,89,Niagara Ave,Bruce Ave,10/16/17,Treatment,Yes,Residential
10508000,Plaza St,97,Magellan Ave,Laguna Honda Blvd,10/16/17,Treatment,Yes,Residential
7025000,Hotaling Pl,81,Washington St,Jackson St,10/16/17,Survey,Yes,Residential
687000,16th Ave,93,Ortega St,Pacheco St,10/16/17,Treatment,Yes,Residential
5874000,Front St,85,Broadway,Vallejo St,10/16/17,Survey,Yes,Residential
2225000,Alton Ave,99,Pacheco St,09th Ave,10/16/17,Treatment,Yes,Residential
3771000,Castenada Ave,93,Forest Hill Path \ Magellan Ave,Pacheco St,10/16/17,Treatment,Yes,Residential
3649000,Campton Pl,92,Grant Ave,Stockton St,10/16/17,Survey,Yes,Residential
9337000,Moraga St,91,11th Ave,12th Ave,10/16/17,Treatment,Yes,Residential
3164000,Broadway,99,Leavenworth St,Cyrus Pl,10/16/17,Treatment,Yes,Residential
9986000,Orizaba Ave,98,Randolph St,Lobos St,10/16/17,Treatment,Yes,Residential
3165000,Broadway,98,Cyrus Pl,Hyde St,10/16/17,Treatment,Yes,Residential
4919000,Dorado Ter,74,End,End,10/16/17,Treatment,Yes,Residential
2396000,Arch St,96,Brotherhood Way,Randolph St,10/16/17,Treatment,Yes,Collector
1396000,25th Ave,85,Ocean Ave,Eucalyptus Dr,10/16/17,Treatment,Yes,Residential
3466000,Byxbee St,99,Garfield St,Holloway Ave,10/16/17,Treatment,Yes,Residential
6631000,Halleck St,85,Front St,Battery St,10/16/17,Survey,Yes,Residential
3777000,Castenada Ave,83,Montalvo Ave,End,10/16/17,Treatment,Yes,Residential
2710000,Bancroft Ave,100,Jennings St,Keith St,10/16/17,Treatment,Yes,Residential
9240000,Moncada Way,70,Junipero Serra Blvd,Junipero Serra Blvd,10/16/17,Treatment,Yes,Residential
4777201,Diamond Heights Blvd,100,Duncan St,Gold Mine Dr,10/16/17,Treatment,Yes,Arterial
4776201,Diamond Heights Blvd,100,Carnelian Way,Duncan St,10/16/17,Treatment,Yes,Arterial
9647201,Noriega St,84,11th Ave,12th Ave,10/16/17,Treatment,Yes,Residential
9320000,Montgomery St,89,Lombard St,Chestnut St,10/16/17,Treatment,Yes,Residential
20451000,Bancroft Ave: Jennings St Intersection,100,JENNINGS ST,Intersection,10/16/17,Treatment,No,
22038000,Diamond Heights Blvd: Duncan St Intersection,100,DUNCAN ST,Intersection,10/16/17,Treatment,No,
1395000,25th Ave,87,Sloat Blvd,Ocean Ave,10/16/17,Treatment,Yes,Residential
1313000,24th Ave,85,Sloat Blvd,Ocean Ave,10/16/17,Treatment,Yes,Residential
6158000,Gennessee St,97,Monterey Blvd,Joost Ave,10/16/17,Treatment,Yes,Residential
6408000,Grant Ave,84,Gerke Aly,Jack Micheline Aly,10/16/17,Survey,Yes,Residential
8536000,Lunado Ct,96,End,Lunado Way,10/16/17,Treatment,Yes,Residential
20487000,Bancroft Ave: Keith St Intersection,100,KEITH ST,Intersection,10/16/17,Treatment,No,
2544000,Athens St,97,Cordova St,Naples St,10/16/17,Treatment,Yes,Residential
4776102,Diamond Heights Blvd,100,Safira Ln,Duncan St,10/16/17,Treatment,Yes,Arterial
5273000,Eucalyptus Dr,91,Melba Ave,23rd Ave,10/16/17,Treatment,Yes,Residential
11653000,Sargent St,98,Ralston St,Byxbee St,10/16/17,Treatment,Yes,Residential
12527000,Terrace Dr,97,Portola Dr,Santa Clara Ave,10/16/17,Treatment,Yes,Residential
762000,17th Ave,80,Moraga St,Noriega St,10/16/17,Treatment,Yes,Residential
22036000,Diamond Heights Blvd: Gold Mine Dr Intersection,100,GOLD MINE DR,Intersection,10/16/17,Treatment,No,
33497000,Diamond Heights Blvd: Safira Ln Intersection,100,SAFIRA LN,Intersection,10/16/17,Treatment,No,
4777101,Diamond Heights Blvd,100,Duncan St,Gold Mine Dr,10/16/17,Treatment,Yes,Arterial
9321000,Montgomery St,96,Chestnut St,Francisco St,10/16/17,Treatment,Yes,Residential
11590000,Santa Rosa Ave,100,Alemany Blvd,Cayuga Ave,10/13/17,Treatment,Yes,Residential
9631000,Noe St,100,Clipper St,26th St,10/13/17,Treatment,Yes,Residential
9572000,Newhall St,100,Mckinnon Ave,Newcomb Ave,10/13/17,Treatment,Yes,Residential
8100000,Langton St,100,Decker Aly,Harrison St,10/13/17,Treatment,Yes,Residential
9628000,Noe St,100,24th St,Jersey St,10/13/17,Treatment,Yes,Residential
4774101,Diamond Heights Blvd,100,Clipper St,Duncan St,10/13/17,Treatment,Yes,Arterial
9571000,Newhall St,100,La Salle Ave,Mckinnon Ave,10/13/17,Treatment,Yes,Residential
4775101,Diamond Heights Blvd,100,Duncan St,Carnelian Way,10/13/17,Treatment,Yes,Arterial
