CNN,STREET,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
4622000,Day St,95,Noe St,29th St \ Castro St,9/25/17,Survey,Yes,Residential
3805000,Castro St,99,26th St,Cesar Chavez St,9/25/17,Survey,Yes,Residential
13127000,Valley St,98,Church St,Sanchez St,9/25/17,Survey,Yes,Residential
13126000,Valley St,98,Dolores St,Church St,9/25/17,Survey,Yes,Residential
12352000,Sweeny St,100,Dartmouth St,Dunsmuir St,9/22/17,Treatment,Yes,Residential
9516000,Natoma St,100,10th St,11th St,9/22/17,Treatment,Yes,Residential
13608000,Whitney St,83,30th St,Randall St,9/21/17,Survey,Yes,Residential
8008000,Laidley St,95,Roanoke St,Castro St,9/21/17,Survey,Yes,Residential
8006000,Laidley St,95,Miguel St,Mateo St,9/21/17,Survey,Yes,Residential
11092000,Roanoke St,95,Laidley St,Chenery St,9/21/17,Survey,Yes,Residential
8007000,Laidley St,95,Mateo St,Roanoke St,9/21/17,Survey,Yes,Residential
8004000,Laidley St,96,Harper St,Fairmount St,9/21/17,Survey,Yes,Residential
10914000,Randall St,95,Sanchez St,Harper St,9/21/17,Survey,Yes,Residential
8003000,Laidley St,96,Harry St \ Noe St,Harper St,9/21/17,Survey,Yes,Residential
6698000,Harper St,95,Randall St,Laidley St,9/21/17,Survey,Yes,Residential
2451000,Arlington St,93,Miguel St,Mateo St,9/20/17,Survey,Yes,Residential
9641000,Nordhoff St,94,Mangels Ave,Stillings Ave,9/20/17,Survey,Yes,Residential
2453000,Arlington St,93,Saint Marys Ave,Roanoke St,9/20/17,Survey,Yes,Residential
2448000,Arlington St,84,Fairmount St,Charles St,9/20/17,Survey,Yes,Residential
8401000,Lippard Ave,84,Chenery St,Bosworth St,9/20/17,Survey,Yes,Residential
2447000,Arlington St,93,Randall St,Fairmount St,9/20/17,Survey,Yes,Residential
8647000,Mangels Ave,95,Burnside Ave,Baden St,9/20/17,Survey,Yes,Residential
4263000,College Ave,93,Saint Marys Ave,Crescent Ave \ Mission St,9/20/17,Survey,Yes,Residential
8402000,Lippard Ave,95,Bosworth St,Joost Ave,9/20/17,Survey,Yes,Residential
2450000,Arlington St,86,Highland Ave,Miguel St,9/20/17,Survey,Yes,Residential
12187000,Stillings Ave,95,Martha Ave,Nordhoff St,9/20/17,Survey,Yes,Residential
2081000,Acadia St,93,Joost Ave,End,9/20/17,Survey,Yes,Residential
3185000,Broadway,100,Baker St,Lyon St,9/14/17,Treatment,Yes,Residential
8435000,Lombard St,100,Kearny St \ Telegraph Hill Blvd,Child St,9/14/17,Treatment,Yes,Residential
9899000,Octavia St,100,Green St,Union St,9/14/17,Treatment,Yes,Residential
11460000,San Jose Ave,79,End,Mount Vernon Ave,9/11/17,Survey,Yes,Arterial
6327000,Gough St,34,Turk St,Eddy St,9/11/17,Survey,Yes,Arterial
13655000,Williams Ave,75,Reddy St,Diana St \ Shoup Ave,9/11/17,Survey,Yes,Collector
6968000,Holloway Ave,100,Granada Ave,Miramar Ave,9/7/17,Treatment,Yes,Collector
6972000,Holloway Ave,100,Jules Ave,Ashton Ave,9/7/17,Treatment,Yes,Collector
6967000,Holloway Ave,100,Plymouth Ave,Granada Ave,9/7/17,Treatment,Yes,Collector
6971000,Holloway Ave,100,Faxon Ave,Jules Ave,9/7/17,Treatment,Yes,Collector
22609000,Faxon Ave: Holloway Ave Intersection,100,HOLLOWAY AVE,Intersection,9/7/17,Treatment,No,
22613000,Ashton Ave: Holloway Ave Intersection,100,HOLLOWAY AVE,Intersection,9/7/17,Treatment,No,
22219000,Harold Ave: Holloway Ave Intersection,100,HOLLOWAY AVE,Intersection,9/7/17,Treatment,No,
22590000,Capitol Ave: Holloway Ave Intersection,100,HOLLOWAY AVE,Intersection,9/7/17,Treatment,No,
22612000,Holloway Ave: Jules Ave Intersection,100,JULES AVE,Intersection,9/7/17,Treatment,No,
22584000,Granada Ave: Holloway Ave Intersection,100,HOLLOWAY AVE,Intersection,9/7/17,Treatment,No,
22220000,Holloway Ave: Lee Ave Intersection,100,LEE AVE,Intersection,9/7/17,Treatment,No,
22221000,Brighton Ave: Holloway Ave Intersection,100,HOLLOWAY AVE,Intersection,9/7/17,Treatment,No,
22589000,Holloway Ave: Miramar Ave Intersection,100,MIRAMAR AVE,Intersection,9/7/17,Treatment,No,
6965000,Holloway Ave,100,Lee Ave,Brighton Ave,9/7/17,Treatment,Yes,Collector
6969000,Holloway Ave,100,Miramar Ave,Capitol Ave,9/7/17,Treatment,Yes,Collector
6966000,Holloway Ave,100,Brighton Ave,Plymouth Ave,9/7/17,Treatment,Yes,Collector
6970000,Holloway Ave,100,Capitol Ave,Faxon Ave,9/7/17,Treatment,Yes,Collector
6964000,Holloway Ave,100,Harold Ave,Lee Ave,9/7/17,Treatment,Yes,Collector
8680000,Maple St,100,Washington St,Clay St,9/5/17,Treatment,Yes,Residential
9644000,Noriega St,100,08th Ave,09th Ave,9/5/17,Treatment,Yes,Residential
11579000,Santa Monica Way,100,End,San Lorenzo Way,9/5/17,Treatment,Yes,Residential
11580000,Santa Monica Way,100,San Lorenzo Way,Santa Paula Ave,9/5/17,Treatment,Yes,Residential
11578000,Santa Monica Way,100,Santa Clara Ave \ Yerba Buena Ave,End,9/5/17,Treatment,Yes,Residential
