Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
3843,100611 (3843),3128,910972 (3128),"10/1/2017 - 12/31/2017, Every day, Daily Average",1437,1144,1804
3843,100611 (3843),3129,407351 (3129),"10/1/2017 - 12/31/2017, Every day, Daily Average",1437,1059,1949
3843,100611 (3843),3130,407323 (3130),"10/1/2017 - 12/31/2017, Every day, Daily Average",1935,1460,2564
3843,100611 (3843),3133,508524 (3133),"10/1/2017 - 12/31/2017, Every day, Daily Average",2163,1647,2840
3843,100611 (3843),3134,407331 (3134),"10/1/2017 - 12/31/2017, Every day, Daily Average",1815,1325,2484
3843,100611 (3843),3137,407344 (3137),"10/1/2017 - 12/31/2017, Every day, Daily Average",1541,1159,2048
3843,100611 (3843),3138,407341 (3138),"10/1/2017 - 12/31/2017, Every day, Daily Average",1912,1369,2669
3843,100611 (3843),3139,407310 (3139),"10/1/2017 - 12/31/2017, Every day, Daily Average",1849,1360,2512
3843,100611 (3843),3140,407342 (3140),"10/1/2017 - 12/31/2017, Every day, Daily Average",1402,1067,1841
3843,100611 (3843),3143,407343 (3143),"10/1/2017 - 12/31/2017, Every day, Daily Average",1398,1058,1847
3843,100611 (3843),3145,407301 (3145),"10/1/2017 - 12/31/2017, Every day, Daily Average",1856,1394,2470
3843,100611 (3843),3146,407170 (3146),"10/1/2017 - 12/31/2017, Every day, Daily Average",1561,1129,2156
3843,100611 (3843),3147,407352 (3147),"10/1/2017 - 12/31/2017, Every day, Daily Average",1342,1001,1798
3843,100611 (3843),3148,407332 (3148),"10/1/2017 - 12/31/2017, Every day, Daily Average",1836,1371,2457
3843,100611 (3843),3149,407302 (3149),"10/1/2017 - 12/31/2017, Every day, Daily Average",1821,1399,2368
3843,100611 (3843),3150,407303 (3150),"10/1/2017 - 12/31/2017, Every day, Daily Average",1786,1355,2353
3843,100611 (3843),3152,508522 (3152),"10/1/2017 - 12/31/2017, Every day, Daily Average",2195,1673,2879
3843,100611 (3843),3153,407242 (3153),"10/1/2017 - 12/31/2017, Every day, Daily Average",1243,892,1730
3843,100611 (3843),3156,407346 (3156),"10/1/2017 - 12/31/2017, Every day, Daily Average",1902,1363,2653
3843,100611 (3843),3157,407354 (3157),"10/1/2017 - 12/31/2017, Every day, Daily Average",1483,1082,2030
3843,100611 (3843),3158,508541 (3158),"10/1/2017 - 12/31/2017, Every day, Daily Average",2247,1716,2941
3843,100611 (3843),3160,407181 (3160),"10/1/2017 - 12/31/2017, Every day, Daily Average",1755,1284,2398
3843,100611 (3843),3162,407298 (3162),"10/1/2017 - 12/31/2017, Every day, Daily Average",1834,1358,2475
3843,100611 (3843),3163,407291 (3163),"10/1/2017 - 12/31/2017, Every day, Daily Average",1834,1367,2460
3843,100611 (3843),3166,407281 (3166),"10/1/2017 - 12/31/2017, Every day, Daily Average",1785,1323,2407
3843,100611 (3843),3168,407297 (3168),"10/1/2017 - 12/31/2017, Every day, Daily Average",1741,1298,2334
3843,100611 (3843),3169,407292 (3169),"10/1/2017 - 12/31/2017, Every day, Daily Average",1790,1379,2323
3843,100611 (3843),3171,508523 (3171),"10/1/2017 - 12/31/2017, Every day, Daily Average",2228,1704,2912
3843,100611 (3843),3172,407256 (3172),"10/1/2017 - 12/31/2017, Every day, Daily Average",1748,1250,2443
3843,100611 (3843),3173,910991 (3173),"10/1/2017 - 12/31/2017, Every day, Daily Average",1017,779,1326
3843,100611 (3843),3174,407252 (3174),"10/1/2017 - 12/31/2017, Every day, Daily Average",1725,1225,2427
3843,100611 (3843),3175,407282 (3175),"10/1/2017 - 12/31/2017, Every day, Daily Average",1741,1286,2355
3843,100611 (3843),3176,407251 (3176),"10/1/2017 - 12/31/2017, Every day, Daily Average",1669,1213,2295
3843,100611 (3843),3177,910974 (3177),"10/1/2017 - 12/31/2017, Every day, Daily Average",1092,854,1394
3843,100611 (3843),3178,407296 (3178),"10/1/2017 - 12/31/2017, Every day, Daily Average",1698,1257,2292
3843,100611 (3843),3180,407243 (3180),"10/1/2017 - 12/31/2017, Every day, Daily Average",1568,1159,2120
3843,100611 (3843),3181,407283 (3181),"10/1/2017 - 12/31/2017, Every day, Daily Average",1707,1259,2313
3843,100611 (3843),3185,407160 (3185),"10/1/2017 - 12/31/2017, Every day, Daily Average",1412,1032,1930
3843,100611 (3843),3187,407255 (3187),"10/1/2017 - 12/31/2017, Every day, Daily Average",1486,1121,1968
3843,100611 (3843),3188,407254 (3188),"10/1/2017 - 12/31/2017, Every day, Daily Average",1351,997,1830
3843,100611 (3843),3189,407295 (3189),"10/1/2017 - 12/31/2017, Every day, Daily Average",1653,1226,2227
3843,100611 (3843),3190,407253 (3190),"10/1/2017 - 12/31/2017, Every day, Daily Average",1630,1142,2324
