CNN,Street_name,ST_TYPE,NHOOD,CNNTEXT,shape
4798101,DIVISADERO,ST,Buena Vista Park,4798101,"LINESTRING (-122.43684894235278 37.770342896301194, -122.43692070709835 37.77041218168384, -122.43707462346248 37.77118252797023, -122.43704561266036 37.771267424787126)"
4835000,DIVISADERO,ST,Marina,4835000,"LINESTRING (-122.44379196715151 37.804637871622596, -122.44398351829489 37.80558113891274)"
4833000,DIVISADERO,ST,Marina,4833000,"LINESTRING (-122.44341350797471 37.80277413904593, -122.4436025183974 37.80370493701751)"
4832000,DIVISADERO,ST,Marina,4832000,"LINESTRING (-122.44322349785236 37.801838380816754, -122.44341350797471 37.80277413904593)"
4831000,DIVISADERO,ST,Marina,4831000,"LINESTRING (-122.4430346240519 37.80090820901365, -122.44322349785236 37.801838380816754)"
5448000,FELL,ST,Alamo Square,5448000,"LINESTRING (-122.43264862251284 37.77469266035433, -122.43429428425932 37.77447581711821)"
5459000,FELL,ST,North Panhandle,5459000,"LINESTRING (-122.45078670814775 37.77236766358794, -122.45224216058303 37.772180566332466, -122.45243746165414 37.77218917291169)"
5458000,FELL,ST,North Panhandle,5458000,"LINESTRING (-122.44914317304071 37.77257891615129, -122.45078670814775 37.77236766358794)"
5456000,FELL,ST,North Panhandle,5456000,"LINESTRING (-122.44590236630951 37.772995405980666, -122.44749724500835 37.772790453861475)"
5455000,FELL,ST,North Panhandle,5455000,"LINESTRING (-122.44421618349881 37.773212067039005, -122.44590236630951 37.772995405980666)"
5454000,FELL,ST,North Panhandle,5454000,"LINESTRING (-122.44256485064946 37.77342422480057, -122.44421618349881 37.773212067039005)"
5453000,FELL,ST,North Panhandle,5453000,"LINESTRING (-122.44092179204262 37.773635296019876, -122.44256485064946 37.77342422480057)"
5452000,FELL,ST,North Panhandle,5452000,"LINESTRING (-122.43927679781314 37.773847119870396, -122.44092179204262 37.773635296019876)"
5444000,FELL,ST,Hayes Valley,5444000,"LINESTRING (-122.42607032560022 37.775524545293194, -122.42772404590232 37.775317310497734)"
5445000,FELL,ST,Hayes Valley,5445000,"LINESTRING (-122.42772404590232 37.775317310497734, -122.4293658600457 37.77511118020253)"
5449000,FELL,ST,Alamo Square,5449000,"LINESTRING (-122.43429428425932 37.77447581711821, -122.43594032804174 37.77427667818276)"
5440000,FELL,ST,Van Ness - Civic Center,5440000,"LINESTRING (-122.41950629407681 37.77636887006124, -122.42114842369108 37.77615876493707)"
5441000,FELL,ST,Van Ness - Civic Center,5441000,"LINESTRING (-122.42114842369108 37.77615876493707, -122.42278763323404 37.775949862448826)"
5442000,FELL,ST,Hayes Valley,5442000,"LINESTRING (-122.42278763323404 37.775949862448826, -122.42432464957561 37.775753961693596)"
5447000,FELL,ST,Alamo Square,5447000,"LINESTRING (-122.43101153847742 37.77490283111193, -122.43264862251284 37.77469266035433)"
5443000,FELL,ST,Hayes Valley,5443000,"LINESTRING (-122.42432464957561 37.775753961693596, -122.42607032560022 37.775524545293194)"
5450000,FELL,ST,Alamo Square,5450000,"LINESTRING (-122.43594032804174 37.77427667818276, -122.43761062393679 37.77406164662486)"
5446000,FELL,ST,Alamo Square,5446000,"LINESTRING (-122.4293658600457 37.77511118020253, -122.43101153847742 37.77490283111193)"
5451000,FELL,ST,North Panhandle,5451000,"LINESTRING (-122.43761062393679 37.77406164662486, -122.43927679781314 37.773847119870396)"
5457000,FELL,ST,North Panhandle,5457000,"LINESTRING (-122.44749724500835 37.772790453861475, -122.44914317304071 37.77257891615129)"
5460000,FELL,ST,North Panhandle,5460000,"LINESTRING (-122.45243746165414 37.77218917291169, -122.45395942956156 37.77199666801921, -122.45408321780828 37.771930404627454)"
6118000,GEARY,ST,Van Ness - Civic Center,6118000,"LINESTRING (-122.41973873392024 37.78589290138807, -122.42139330793205 37.78568580201176)"
6117000,GEARY,ST,Downtown - Tenderloin,6117000,"LINESTRING (-122.41808809744094 37.786101039913994, -122.41973873392024 37.78589290138807)"
6114000,GEARY,ST,Downtown - Tenderloin,6114000,"LINESTRING (-122.41316144401543 37.78672974468323, -122.41480664861766 37.7865198203137)"
6113000,GEARY,ST,Downtown - Tenderloin,6113000,"LINESTRING (-122.4123403022238 37.78683451221896, -122.41316144401543 37.78672974468323)"
6112000,GEARY,ST,Downtown - Tenderloin,6112000,"LINESTRING (-122.41151576691276 37.786939706281125, -122.4123403022238 37.78683451221896)"
6111000,GEARY,ST,Downtown - Tenderloin,6111000,"LINESTRING (-122.40987401670007 37.787149143488385, -122.41151576691276 37.786939706281125)"
6110000,GEARY,ST,Downtown - Tenderloin,6110000,"LINESTRING (-122.40822672589219 37.787359262195565, -122.40987401670007 37.787149143488385)"
6040201,GEARY,BLVD,Lower Pacfic Heights,6040201,"LINESTRING (-122.42798892749516 37.78495387918457, -122.42810209052617 37.7850265326532, -122.43105320230285 37.78466818698968, -122.43120494527902 37.78456824118891)"
6041101,GEARY,BLVD,Western Addition,6041101,"LINESTRING (-122.43120494527902 37.78456824118891, -122.4313799006405 37.784490746186435, -122.43443661607691 37.78410602446264, -122.43456209872744 37.78415186360795)"
6041102,GEARY,BLVD,Western Addition,6041102,"LINESTRING (-122.43120494527902 37.78456824118891, -122.43136295483973 37.784388893105294, -122.43278173266239 37.784213335104596, -122.43291424770223 37.78435505589764)"
6041103,GEARY,BLVD,Western Addition,6041103,"LINESTRING (-122.43291424770223 37.78435505589764, -122.43300930801955 37.784189915346865, -122.43441580003667 37.784013245734336, -122.43456209872744 37.78415186360795)"
6041201,GEARY,BLVD,Lower Pacfic Heights,6041201,"LINESTRING (-122.43120494527902 37.78456824118891, -122.43139931185524 37.78460742578835, -122.43446460185874 37.78422175509199, -122.43456209872744 37.78415186360795)"
6041203,GEARY,BLVD,Lower Pacfic Heights,6041203,"LINESTRING (-122.43291424770223 37.78435505589764, -122.43306930050586 37.78450695788161, -122.43377544526682 37.78441250547545)"
6041204,GEARY,BLVD,Lower Pacfic Heights,6041204,"LINESTRING (-122.43377544526682 37.78441250547545, -122.43448883908536 37.78432209688579, -122.43456209872744 37.78415186360795)"
6042101,GEARY,BLVD,Western Addition,6042101,"LINESTRING (-122.43456209872744 37.78415186360795, -122.43465873425068 37.7840797600825, -122.43526812618661 37.78395837001604, -122.43772060324571 37.78365616853556, -122.43784794292304 37.783717637773776)"
6042201,GEARY,BLVD,Lower Pacfic Heights,6042201,"LINESTRING (-122.43456209872744 37.78415186360795, -122.43465890698208 37.78419421849526, -122.43775168464727 37.78380230148852, -122.43784794292304 37.783717637773776)"
6043101,GEARY,BLVD,Western Addition,6043101,"LINESTRING (-122.43784794292304 37.783717637773776, -122.43798128962685 37.7836219095188, -122.43836682280738 37.78351913917715, -122.43878639808283 37.78334211578999, -122.43897902934289 37.78329990523563, -122.43932562132369 37.7832603752452, -122.43948038182064 37.78330848762415)"
6044101,GEARY,BLVD,Anza Vista,6044101,"LINESTRING (-122.43948038182064 37.78330848762415, -122.43960410697878 37.78322260051662, -122.44265084359158 37.782837300743694, -122.44279310017558 37.78288533681909)"
6044201,GEARY,BLVD,Lower Pacfic Heights,6044201,"LINESTRING (-122.43948038182064 37.78330848762415, -122.43963255953877 37.78335959254951, -122.44115820133113 37.78316366968636)"
6045101,GEARY,BLVD,Anza Vista,6045101,"LINESTRING (-122.44279310017558 37.78288533681909, -122.44289423428974 37.78280882652674, -122.44443147229205 37.782569696232166)"
6045102,GEARY,BLVD,Anza Vista,6045102,"LINESTRING (-122.44443147229205 37.782569696232166, -122.44495372647593 37.78250366252176, -122.44571330049851 37.782409382271226, -122.44582051130223 37.78248803152307)"
6045201,GEARY,BLVD,Lower Pacfic Heights,6045201,"LINESTRING (-122.44279310017558 37.78288533681909, -122.44292254338652 37.78294092106792, -122.44445802360104 37.78277466509664)"
6040103,GEARY,BLVD,Western Addition,6040103,"LINESTRING (-122.42960644596296 37.78468162288636, -122.4297959994197 37.784659745187106)"
6045202,GEARY,BLVD,Lower Pacfic Heights,6045202,"LINESTRING (-122.44445802360104 37.78277466509664, -122.44494638094571 37.78271729251904, -122.4457535681914 37.78261573521692, -122.44582051130223 37.78248803152307)"
6043201,GEARY,BLVD,Lower Pacfic Heights,6043201,"LINESTRING (-122.43784794292304 37.783717637773776, -122.43801704891402 37.78377278010827, -122.43826837031855 37.78371614335181, -122.43855114367602 37.78359685661163, -122.43893687433795 37.78345012585914, -122.43935193049788 37.783394877808135, -122.43948038182064 37.78330848762415)"
6041202,GEARY,BLVD,Lower Pacfic Heights,6041202,"LINESTRING (-122.43120494527902 37.78456824118891, -122.43141611946665 37.78470845266183, -122.4328364144339 37.784532043749444, -122.43291424770223 37.78435505589764)"
6040104,GEARY,BLVD,Western Addition,6040104,"LINESTRING (-122.4297959994197 37.784659745187106, -122.43101945666977 37.784518531827224, -122.43120494527902 37.78456824118891)"
6044202,GEARY,BLVD,Lower Pacfic Heights,6044202,"LINESTRING (-122.44115820133113 37.78316366968636, -122.44270205435102 37.78297235730637, -122.44279310017558 37.78288533681909)"
6037000,GEARY,BLVD,Van Ness - Civic Center,6037000,"LINESTRING (-122.42139330793205 37.78568580201176, -122.423027553184 37.78548224342788)"
6116000,GEARY,ST,Downtown - Tenderloin,6116000,"LINESTRING (-122.41644912261043 37.78631021815255, -122.41808809744094 37.786101039913994)"
6039101,GEARY,BLVD,Western Addition,6039101,"LINESTRING (-122.42468704042207 37.78533462237478, -122.42481582702513 37.78526713051839, -122.42643012664757 37.785061738368285)"
6038000,GEARY,BLVD,Van Ness - Civic Center,6038000,"LINESTRING (-122.423027553184 37.78548224342788, -122.42354849582924 37.78541025711042, -122.42382032843567 37.78538130613394, -122.42413628963148 37.785386931207654, -122.42444109850052 37.78539569104558, -122.42455901441458 37.78540475405521, -122.42468704042207 37.78533462237478)"
6115000,GEARY,ST,Downtown - Tenderloin,6115000,"LINESTRING (-122.41480664861766 37.7865198203137, -122.41644912261043 37.78631021815255)"
6039102,GEARY,BLVD,Western Addition,6039102,"LINESTRING (-122.42643012664757 37.785061738368285, -122.42785333037564 37.784878051828024, -122.42798892749516 37.78495387918457)"
6039201,GEARY,BLVD,Lower Pacfic Heights,6039201,"LINESTRING (-122.42468704042207 37.78533462237478, -122.42489876759394 37.78544112374195, -122.42789421531181 37.785064254711656, -122.42798892749516 37.78495387918457)"
6040102,GEARY,BLVD,Western Addition,6040102,"LINESTRING (-122.42798892749516 37.78495387918457, -122.42807206707009 37.78485870055706, -122.42960644596296 37.78468162288636)"
6127201,GENEVA,AVE,Ingleside,6127201,"LINESTRING (-122.45233156091919 37.72308024328801, -122.4518857123882 37.72274722911313, -122.45024380990539 37.722079998599284, -122.45011822621207 37.72208279539005)"
6128201,GENEVA,AVE,Ingleside,6128201,"LINESTRING (-122.45011822621207 37.72208279539005, -122.45005057685914 37.7220094586217, -122.44939397693994 37.72174570923074, -122.44929574280255 37.721752412771956)"
6129101,GENEVA,AVE,Ingleside,6129101,"LINESTRING (-122.44929574280255 37.721752412771956, -122.4491784487752 37.721751459692, -122.44853314216282 37.72149223923384, -122.4484106477814 37.72139686950209)"
6129201,GENEVA,AVE,Ingleside,6129201,"LINESTRING (-122.44929574280255 37.721752412771956, -122.44922901443387 37.7216794440286, -122.44857608846388 37.721417164071966, -122.4484106477814 37.72139686950209)"
6132201,GENEVA,AVE,Outer Mission,6132201,"LINESTRING (-122.44660865020325 37.72072422429318, -122.44650901362016 37.72064478411018, -122.44542821225949 37.72021727568809, -122.44522678503886 37.72010699575879, -122.4451278727881 37.72008670465835)"
6133101,GENEVA,AVE,Mission Terrace,6133101,"LINESTRING (-122.4451278727881 37.72008670465835, -122.44502503161216 37.72006674936951, -122.44373459304335 37.71901322860258, -122.44369607225241 37.7189286726637)"
6132101,GENEVA,AVE,Mission Terrace,6132101,"LINESTRING (-122.44660865020325 37.72072422429318, -122.4464498773216 37.720707631933394, -122.44540806346687 37.72029680678702, -122.4452030165251 37.72018988728116, -122.4451278727881 37.72008670465835)"
6130101,GENEVA,AVE,Ingleside,6130101,"LINESTRING (-122.4484106477814 37.72139686950209, -122.44831652789664 37.72145496247866, -122.44781586726373 37.721250697179634, -122.44775155400788 37.721155307100474)"
6131101,GENEVA,AVE,Ingleside,6131101,"LINESTRING (-122.44775155400788 37.721155307100474, -122.4476586892311 37.72118656971282, -122.44672716964514 37.720806506563456, -122.44660865020325 37.72072422429318)"
6128101,GENEVA,AVE,Ingleside,6128101,"LINESTRING (-122.45011822621207 37.72208279539005, -122.45000238350106 37.722082426053305, -122.44934341253023 37.721817724063115, -122.44929574280255 37.721752412771956)"
6131201,GENEVA,AVE,Ingleside,6131201,"LINESTRING (-122.44775155400788 37.721155307100474, -122.44770895787245 37.721071204710555, -122.44683251789789 37.720744950036185, -122.44660865020325 37.72072422429318)"
6133201,GENEVA,AVE,Outer Mission,6133201,"LINESTRING (-122.4451278727881 37.72008670465835, -122.44504447282358 37.71997278122164, -122.44379378447361 37.71895346252993, -122.44369607225241 37.7189286726637)"
6127101,GENEVA,AVE,Ingleside,6127101,"LINESTRING (-122.45159516626023 37.72299178432581, -122.45158876159887 37.7227525347712, -122.45150303357536 37.72268775555847, -122.4501887975664 37.72216456064921, -122.45011822621207 37.72208279539005)"
6130201,GENEVA,AVE,Ingleside,6130201,"LINESTRING (-122.4484106477814 37.72139686950209, -122.44839627158872 37.721327051655074, -122.44783149196694 37.7211168175297, -122.44775155400788 37.721155307100474)"
6727000,HARRISON,ST,South of Market,6727000,"LINESTRING (-122.40547606226953 37.77616197877837, -122.40629596471294 37.775514153996156)"
6728000,HARRISON,ST,South of Market,6728000,"LINESTRING (-122.40629596471294 37.775514153996156, -122.4063685351784 37.77545681331615)"
6719000,HARRISON,ST,Financial District South,6719000,"LINESTRING (-122.3996162321739 37.78079148266775, -122.40184327371725 37.77903213332776)"
6726000,HARRISON,ST,South of Market,6726000,"LINESTRING (-122.40489615213106 37.77662017078481, -122.40547606226953 37.77616197877837)"
6730000,HARRISON,ST,South of Market,6730000,"LINESTRING (-122.40740517168335 37.774637713946504, -122.40776786556354 37.77435112460201)"
6729000,HARRISON,ST,South of Market,6729000,"LINESTRING (-122.40682892604913 37.775093039255246, -122.40740517168335 37.774637713946504)"
6731000,HARRISON,ST,South of Market,6731000,"LINESTRING (-122.40776786556354 37.77435112460201, -122.40851633058793 37.77375969994331)"
6732000,HARRISON,ST,South of Market,6732000,"LINESTRING (-122.40851633058793 37.77375969994331, -122.40968304118229 37.77283775732597)"
6733000,HARRISON,ST,South of Market,6733000,"LINESTRING (-122.40968304118229 37.77283775732597, -122.41007684752097 37.772526443728935)"
6720000,HARRISON,ST,South of Market,6720000,"LINESTRING (-122.40184327371725 37.77903213332776, -122.40238482599263 37.778604290690446)"
6728001,HARRISON,ST,South of Market,6728001,"LINESTRING (-122.4063685351784 37.77545681331615, -122.40682892604913 37.775093039255246)"
6725000,HARRISON,ST,South of Market,6725000,"LINESTRING (-122.40461003057239 37.776846234557986, -122.40489615213106 37.77662017078481)"
6721000,HARRISON,ST,South of Market,6721000,"LINESTRING (-122.40238482599263 37.778604290690446, -122.40296115680137 37.778148964009326)"
6722000,HARRISON,ST,South of Market,6722000,"LINESTRING (-122.40296115680137 37.778148964009326, -122.40352964216775 37.77769982726136)"
6723000,HARRISON,ST,South of Market,6723000,"LINESTRING (-122.40352964216775 37.77769982726136, -122.40407025626142 37.77727270167653)"
6724000,HARRISON,ST,South of Market,6724000,"LINESTRING (-122.40407025626142 37.77727270167653, -122.40461003057239 37.776846234557986)"
9158000,MISSION,ST,Mission Terrace,9158000,"LINESTRING (-122.43244732408841 37.727637208074995, -122.43280782287644 37.72731504278325, -122.43291179366561 37.72717755081583)"
9086000,MISSION,ST,Financial District South,9086000,"LINESTRING (-122.39581342125622 37.791152808444416, -122.39668969601654 37.79046106737725)"
9087000,MISSION,ST,Financial District South,9087000,"LINESTRING (-122.39668969601654 37.79046106737725, -122.39757446704941 37.78976259875658)"
9088000,MISSION,ST,Financial District South,9088000,"LINESTRING (-122.39757446704941 37.78976259875658, -122.39831582494942 37.78917733050455)"
9096001,MISSION,ST,Financial District South,9096001,"LINESTRING (-122.404266872172 37.78447874460379, -122.40486479457891 37.78400661371894)"
9096002,MISSION,ST,Financial District South,9096002,"LINESTRING (-122.40486479457891 37.78400661371894, -122.40602380906853 37.78309140375166)"
9096003,MISSION,ST,Financial District South,9096003,"LINESTRING (-122.40602380906853 37.78309140375166, -122.40647940284595 37.78273163630402)"
9191000,MISSION,ST,Outer Mission,9191000,"LINESTRING (-122.44767244295566 37.710748523164, -122.44837696186318 37.71037270804869)"
9100000,MISSION,ST,South of Market,9100000,"LINESTRING (-122.40870867338742 37.78097118284819, -122.41093657426327 37.779211685371926)"
9083000,MISSION,ST,South Beach,9083000,"LINESTRING (-122.39318133282724 37.79323049240148, -122.39405962423074 37.79253721707925)"
9175201,MISSION,ST,Mission Terrace,9175201,"LINESTRING (-122.4395003752694 37.71846722575565, -122.43955696244116 37.71844571840733, -122.44010611650917 37.7177193066229, -122.44010660685457 37.71766530903906)"
9180000,MISSION,ST,Outer Mission,9180000,"LINESTRING (-122.44169115934106 37.71557269933295, -122.44179946440104 37.71542968023309)"
9186000,MISSION,ST,Outer Mission,9186000,"LINESTRING (-122.44395162746312 37.713362091011156, -122.44457108238926 37.71278342722237)"
9192000,MISSION,ST,Outer Mission,9192000,"LINESTRING (-122.44837696186318 37.71037270804869, -122.44893095058865 37.71007403549069, -122.44930866728122 37.70994620361074)"
9122002,MISSION,ST,Inner Mission,9122002,"LINESTRING (-122.41901153331114 37.758199785567335, -122.41890102864883 37.75703540215724)"
9128000,MISSION,ST,Inner Mission,9128000,"LINESTRING (-122.4181352514231 37.749041287369344, -122.41809362836337 37.7486053602094, -122.41809663755882 37.74847832001336, -122.41822117070208 37.74816568928836)"
9134000,MISSION,ST,Bernal Heights North,9134000,"LINESTRING (-122.42089365980519 37.74403763234487, -122.4214854504341 37.743122663971114)"
9141000,MISSION,ST,Bernal Heights South,9141000,"LINESTRING (-122.423089906458 37.74064188702958, -122.42358024013373 37.73988370513015)"
9147201,MISSION,ST,Bernal Heights South,9147201,"LINESTRING (-122.42470256124085 37.73536987051904, -122.42487772975686 37.7352385078192, -122.42576004234938 37.7343540622685, -122.42579180316527 37.73427799770757)"
9151101,MISSION,ST,Excelsior,9151101,"LINESTRING (-122.42930439724509 37.730742173159626, -122.42929413215927 37.73068108956858, -122.43000624016008 37.72996451051241, -122.4301109181342 37.72993058798184)"
9154101,MISSION,ST,Excelsior,9154101,"LINESTRING (-122.4308092567339 37.72922784588175, -122.43081722261478 37.72914725678458, -122.43117936382332 37.728774869839306, -122.43129384330486 37.72872954880904)"
9085000,MISSION,ST,Financial District South,9085000,"LINESTRING (-122.39494023708204 37.791842090150844, -122.39581342125622 37.791152808444416)"
9197000,MISSION,ST,Outer Mission,9197000,"LINESTRING (-122.4526647227786 37.70880633777149, -122.45428112594834 37.70825596004652)"
9159000,MISSION,ST,Mission Terrace,9159000,"LINESTRING (-122.43291179366561 37.72717755081583, -122.43335744989108 37.726588203216004)"
9160000,MISSION,ST,Mission Terrace,9160000,"LINESTRING (-122.43335744989108 37.726588203216004, -122.43362359121338 37.726236244212984)"
9162000,MISSION,ST,Mission Terrace,9162000,"LINESTRING (-122.43398235612646 37.72576179026177, -122.4344256966485 37.72517547622067)"
9163000,MISSION,ST,Mission Terrace,9163000,"LINESTRING (-122.4344256966485 37.72517547622067, -122.4347984137475 37.72468255445369)"
9165000,MISSION,ST,Mission Terrace,9165000,"LINESTRING (-122.43487037915175 37.724587705566336, -122.43531256955848 37.72400490889743)"
9166000,MISSION,ST,Mission Terrace,9166000,"LINESTRING (-122.43531256955848 37.72400490889743, -122.43538508617654 37.723909402949644)"
9167000,MISSION,ST,Mission Terrace,9167000,"LINESTRING (-122.43538508617654 37.723909402949644, -122.435976888114 37.72312996299627)"
9169000,MISSION,ST,Mission Terrace,9169000,"LINESTRING (-122.43604007290506 37.72304446975431, -122.43646816586605 37.72246521853347)"
9170000,MISSION,ST,Mission Terrace,9170000,"LINESTRING (-122.43646816586605 37.72246521853347, -122.43714952448168 37.721575000880826)"
9171101,MISSION,ST,Excelsior,9171101,"LINESTRING (-122.43714952448168 37.721575000880826, -122.43715086658463 37.72152080702711, -122.43739617995546 37.72119604520036, -122.43746114010328 37.721163547978215)"
9171201,MISSION,ST,Mission Terrace,9171201,"LINESTRING (-122.43714952448168 37.721575000880826, -122.43720910751247 37.72154960372576, -122.43745708664478 37.72122217520381, -122.43746114010328 37.721163547978215)"
9172101,MISSION,ST,Excelsior,9172101,"LINESTRING (-122.43746114010328 37.721163547978215, -122.43746980641771 37.72109876043695, -122.43825078448656 37.72006616077409, -122.43832941352946 37.720015525277375)"
9173101,MISSION,ST,Excelsior,9173101,"LINESTRING (-122.43832941352946 37.720015525277375, -122.43832817626128 37.719963833123444, -122.43879293169476 37.719351158139254, -122.43886348609112 37.71930935999118)"
9173201,MISSION,ST,Mission Terrace,9173201,"LINESTRING (-122.43832941352946 37.720015525277375, -122.43838867386484 37.7199904995864, -122.43885503107099 37.719373867474175, -122.43886348609112 37.71930935999118)"
9174101,MISSION,ST,Excelsior,9174101,"LINESTRING (-122.43886348609112 37.71930935999118, -122.43886151334826 37.719258637206835, -122.43944060036281 37.718492934898435, -122.4395003752694 37.71846722575565)"
9174201,MISSION,ST,Mission Terrace,9174201,"LINESTRING (-122.43886348609112 37.71930935999118, -122.43892171561554 37.71928569709376, -122.43949735587317 37.71852454947213, -122.4395003752694 37.71846722575565)"
9090000,MISSION,ST,Financial District South,9090000,"LINESTRING (-122.39856429337067 37.78898117329391, -122.39935849159846 37.78835417027178)"
9091000,MISSION,ST,Financial District South,9091000,"LINESTRING (-122.39935849159846 37.78835417027178, -122.39979802405762 37.78800716070537)"
9092000,MISSION,ST,Financial District South,9092000,"LINESTRING (-122.39979802405762 37.78800716070537, -122.40050309616417 37.787450499016835)"
9093000,MISSION,ST,Financial District South,9093000,"LINESTRING (-122.40050309616417 37.787450499016835, -122.40126150217576 37.78685171562152)"
9094000,MISSION,ST,Financial District South,9094000,"LINESTRING (-122.40126150217576 37.78685171562152, -122.40202541968891 37.786248151755245)"
9097000,MISSION,ST,South of Market,9097000,"LINESTRING (-122.40647940284595 37.78273163630402, -122.40716438314801 37.78219072147552)"
9099000,MISSION,ST,South of Market,9099000,"LINESTRING (-122.4072546750804 37.782119419227804, -122.40870867338742 37.78097118284819)"
9101000,MISSION,ST,South of Market,9101000,"LINESTRING (-122.41093657426327 37.779211685371926, -122.41241334370177 37.77804532892118)"
9102000,MISSION,ST,South of Market,9102000,"LINESTRING (-122.41241334370177 37.77804532892118, -122.41315769137628 37.777457420008425)"
9103000,MISSION,ST,South of Market,9103000,"LINESTRING (-122.41315769137628 37.777457420008425, -122.4141068955 37.776707687587496)"
9105000,MISSION,ST,South of Market,9105000,"LINESTRING (-122.41471100388773 37.77623051936919, -122.41512795277124 37.77588970315427)"
9106000,MISSION,ST,South of Market,9106000,"LINESTRING (-122.41512795277124 37.77588970315427, -122.41548475044387 37.77560725709965)"
9107000,MISSION,ST,South of Market,9107000,"LINESTRING (-122.41548475044387 37.77560725709965, -122.41590817887767 37.77527206015794)"
9108000,MISSION,ST,South of Market,9108000,"LINESTRING (-122.41590817887767 37.77527206015794, -122.41710413618293 37.774325287218616)"
9109102,MISSION,ST,South of Market,9109102,"LINESTRING (-122.41803023193879 37.773474419839545, -122.41840936421325 37.77311090356973, -122.41861821680205 37.773053453928895)"
9109201,MISSION,ST,South of Market,9109201,"LINESTRING (-122.41710413618293 37.774325287218616, -122.4172331362232 37.77426859074853, -122.41847156728674 37.77327456122275, -122.41861821680205 37.773053453928895)"
9110000,MISSION,ST,South of Market,9110000,"LINESTRING (-122.41861821680205 37.773053453928895, -122.41869466654303 37.772793495624356, -122.41917312697836 37.77200125345177, -122.41961066463077 37.77110673811594, -122.41964545860844 37.77100577218322)"
9111000,MISSION,ST,South of Market,9111000,"LINESTRING (-122.41964545860844 37.77100577218322, -122.41975852482723 37.770672595331874)"
9111001,MISSION,ST,South of Market,9111001,"LINESTRING (-122.41975852482723 37.770672595331874, -122.41985346975864 37.7703928117208, -122.42000832048357 37.770111448584785)"
9112101,MISSION,ST,Inner Mission,9112101,"LINESTRING (-122.42000832048357 37.770111448584785, -122.41989880864715 37.76989336078789, -122.41994381127115 37.76960067068199, -122.42000379136394 37.769126504272464, -122.4200320906095 37.76904544592114)"
9113000,MISSION,ST,Inner Mission,9113000,"LINESTRING (-122.4200320906095 37.76904544592114, -122.41998151154081 37.76827365384319)"
9114000,MISSION,ST,Inner Mission,9114000,"LINESTRING (-122.41998151154081 37.76827365384319, -122.41982523400044 37.76667360113005)"
9115000,MISSION,ST,Inner Mission,9115000,"LINESTRING (-122.41982523400044 37.76667360113005, -122.41966897224114 37.76505133733294)"
9116000,MISSION,ST,Inner Mission,9116000,"LINESTRING (-122.41966897224114 37.76505133733294, -122.41951273649501 37.76342927290186)"
9117000,MISSION,ST,Inner Mission,9117000,"LINESTRING (-122.41951273649501 37.76342927290186, -122.41947628736386 37.76305083976056)"
9119000,MISSION,ST,Inner Mission,9119000,"LINESTRING (-122.41944373614392 37.762712866985844, -122.4193592670651 37.76183585545122)"
9120000,MISSION,ST,Inner Mission,9120000,"LINESTRING (-122.4193592670651 37.76183585545122, -122.4192060431784 37.76023535498799)"
9121000,MISSION,ST,Inner Mission,9121000,"LINESTRING (-122.4192060431784 37.76023535498799, -122.41905260666962 37.7586325662972)"
9122001,MISSION,ST,Inner Mission,9122001,"LINESTRING (-122.41905260666962 37.7586325662972, -122.41901153331114 37.758199785567335)"
9082000,MISSION,ST,South Beach,9082000,"LINESTRING (-122.39249932961967 37.7937688144561, -122.39318133282724 37.79323049240148)"
9084000,MISSION,ST,South Beach,9084000,"LINESTRING (-122.39405962423074 37.79253721707925, -122.39494023708204 37.791842090150844)"
9175101,MISSION,ST,Excelsior,9175101,"LINESTRING (-122.4395003752694 37.71846722575565, -122.4394967515562 37.718418606584116, -122.44004217065208 37.717695742767475, -122.44010660685457 37.71766530903906)"
9176101,MISSION,ST,Excelsior,9176101,"LINESTRING (-122.44010660685457 37.71766530903906, -122.44013262989306 37.717586749643495, -122.44035543359118 37.717285489375705, -122.44041773725704 37.71724461940495)"
9176201,MISSION,ST,Mission Terrace,9176201,"LINESTRING (-122.44010660685457 37.71766530903906, -122.44018561087877 37.717623548637, -122.44041762791609 37.717309827751755, -122.44041773725704 37.71724461940495)"
9177000,MISSION,ST,Mission Terrace,9177000,"LINESTRING (-122.44041773725704 37.71724461940495, -122.44101956112058 37.71645954644585)"
9178000,MISSION,ST,Outer Mission,9178000,"LINESTRING (-122.44101956112058 37.71645954644585, -122.44155428465281 37.715753444271336)"
9179000,MISSION,ST,Outer Mission,9179000,"LINESTRING (-122.44155428465281 37.715753444271336, -122.44169115934106 37.71557269933295)"
9181000,MISSION,ST,Outer Mission,9181000,"LINESTRING (-122.44179946440104 37.71542968023309, -122.44189552465033 37.715308255463924, -122.4425649629628 37.71466061879331)"
9182000,MISSION,ST,Outer Mission,9182000,"LINESTRING (-122.4425649629628 37.71466061879331, -122.442661526303 37.71456719817238)"
9183000,MISSION,ST,Outer Mission,9183000,"LINESTRING (-122.442661526303 37.71456719817238, -122.44334561029423 37.71392818916238)"
9184000,MISSION,ST,Outer Mission,9184000,"LINESTRING (-122.44334561029423 37.71392818916238, -122.4437060318323 37.71359151124147)"
9185000,MISSION,ST,Outer Mission,9185000,"LINESTRING (-122.4437060318323 37.71359151124147, -122.44395162746312 37.713362091011156)"
9187000,MISSION,ST,Outer Mission,9187000,"LINESTRING (-122.44457108238926 37.71278342722237, -122.44474329089508 37.71262221774599)"
