CNN,Street_name,ST_TYPE,NHOOD,CNNTEXT,shape
909101,19TH,AVE,Inner Sunset,909101,"LINESTRING (-122.4773083942968 37.76544798680642, -122.47724090051535 37.76532056355511, -122.47712114005361 37.76367451781237, -122.47717411099796 37.76355949903919)"
913101,19TH,AVE,Inner Sunset,913101,"LINESTRING (-122.47668417745857 37.75796898198868, -122.47660069674218 37.757908734724246, -122.47648018897992 37.75618416950764, -122.47655429068794 37.756110215505196)"
917101,19TH,AVE,Inner Parkside,917101,"LINESTRING (-122.47616321405218 37.7505122780919, -122.47609224550656 37.750404210884, -122.4759779613802 37.74876012898621, -122.47603309832643 37.74864750741715)"
916201,19TH,AVE,Parkside,916201,"LINESTRING (-122.47629223961219 37.75237859882786, -122.47634324507216 37.752263005833335, -122.47622918516774 37.75062227082086, -122.47616321405218 37.7505122780919)"
916101,19TH,AVE,Inner Parkside,916101,"LINESTRING (-122.47629223961219 37.75237859882786, -122.47622332618468 37.75226688688708, -122.47610938068846 37.75062776445487, -122.47616321405218 37.7505122780919)"
915101,19TH,AVE,Inner Sunset,915101,"LINESTRING (-122.4764235220484 37.754242188411716, -122.47635179279278 37.754134429728445, -122.47623634623407 37.75248950608638, -122.47629223961219 37.75237859882786)"
914201,19TH,AVE,Central Sunset,914201,"LINESTRING (-122.47655429068794 37.756110215505196, -122.47661430186717 37.756046073396, -122.476495164834 37.75434872086106, -122.4764235220484 37.754242188411716)"
914101,19TH,AVE,Inner Sunset,914101,"LINESTRING (-122.47655429068794 37.756110215505196, -122.47648625082569 37.75605011602178, -122.47636718969902 37.75435378863462, -122.4764235220484 37.754242188411716)"
913201,19TH,AVE,Central Sunset,913201,"LINESTRING (-122.47668417745857 37.75796898198868, -122.47674993849931 37.757903624034, -122.47662889917093 37.756171501831794, -122.47655429068794 37.756110215505196)"
912201,19TH,AVE,Central Sunset,912201,"LINESTRING (-122.47681389141773 37.75983393647396, -122.47688086837836 37.75972185440292, -122.47676598364978 37.758080487006396, -122.47668417745857 37.75796898198868)"
912101,19TH,AVE,Inner Sunset,912101,"LINESTRING (-122.47681389141773 37.75983393647396, -122.47673342682084 37.759728625318985, -122.47661845523064 37.7580859766342, -122.47668417745857 37.75796898198868)"
911101,19TH,AVE,Inner Sunset,911101,"LINESTRING (-122.47701088664024 37.761699374855326, -122.47692500836729 37.76158366172338, -122.47674755241187 37.759953377401274, -122.47681389141773 37.75983393647396)"
910201,19TH,AVE,Central Sunset,910201,"LINESTRING (-122.47717411099796 37.76355949903919, -122.47723121011676 37.763449629170445, -122.47709368629933 37.761805755588526, -122.47701088664024 37.761699374855326)"
3456000,BUSH,ST,Lower Pacfic Heights,3456000,"LINESTRING (-122.43839388390266 37.78639167576871, -122.44006119930458 37.78617958369731)"
3441000,BUSH,ST,Downtown - Tenderloin,3441000,"LINESTRING (-122.415371922274 37.78931984906822, -122.4170168782367 37.78911017586574)"
3451000,BUSH,ST,Lower Pacfic Heights,3451000,"LINESTRING (-122.43181319465808 37.78723088065493, -122.43238604610045 37.78715775601247)"
3450000,BUSH,ST,Lower Pacfic Heights,3450000,"LINESTRING (-122.43016838220952 37.78744082540165, -122.43181319465808 37.78723088065493)"
3449000,BUSH,ST,Lower Pacfic Heights,3449000,"LINESTRING (-122.42852501137757 37.78765056184464, -122.43016838220952 37.78744082540165)"
3447000,BUSH,ST,Lower Pacfic Heights,3447000,"LINESTRING (-122.42523650031244 37.78807018810609, -122.42686464368578 37.78786244242427)"
3446000,BUSH,ST,Van Ness - Civic Center,3446000,"LINESTRING (-122.42359407233907 37.788279732515846, -122.42523650031244 37.78807018810609)"
3440000,BUSH,ST,Downtown - Tenderloin,3440000,"LINESTRING (-122.4137283887179 37.78952931774077, -122.415371922274 37.78931984906822)"
3445000,BUSH,ST,Van Ness - Civic Center,3445000,"LINESTRING (-122.42194858448522 37.788489643407324, -122.42359407233907 37.788279732515846)"
3444000,BUSH,ST,Van Ness - Civic Center,3444000,"LINESTRING (-122.4203068827505 37.78869904574785, -122.42194858448522 37.788489643407324)"
3443000,BUSH,ST,Downtown - Tenderloin,3443000,"LINESTRING (-122.41865587221267 37.7889096119901, -122.4203068827505 37.78869904574785)"
3439000,BUSH,ST,Downtown - Tenderloin,3439000,"LINESTRING (-122.41207586744856 37.78973990660086, -122.4137283887179 37.78952931774077)"
3438000,BUSH,ST,Downtown - Tenderloin,3438000,"LINESTRING (-122.41043324628129 37.7899514243051, -122.41207586744856 37.78973990660086)"
3437000,BUSH,ST,Downtown - Tenderloin,3437000,"LINESTRING (-122.4087861071375 37.790159501096255, -122.41043324628129 37.7899514243051)"
