,ID,ModifiedTMC,TOD,YEAR,CHAMP_LINK_COUNT,PHF,ALPHA,BETA,FT2,LANES,DISTANCE,CAPACITY,FFS,INRIX_SPEED,SPEED_20TH,FF_TIME,INRIX_TIME,INRIX_VOL,CHAMP_PCE,CHAMP_VOL,TNC_VOL,TNC_PUDO
6491,105-04624_PM,105-04624,PM,2016,1,0.337,0.71,2.1,1,2,1.16,8605.341246,54.7,41.50940724,36.55,1.272394881,1.676728352,5868.278053,5155.76563,4905.09705,263.95685,15.72
6500,105-04941_PM,105-04941,PM,2016,1,0.337,0.71,2.1,1,2,0.3366,7715.133531,53.4,35.68513919,31.19,0.378202247,0.565949873,6506.3832,8713.46973,8303.74635,154.2,4.33
6502,105-05618_PM,105-05618,PM,2016,1,0.337,0.6,3.5,2,4,0.21,11275.96439,48.41,37.39740385,35.29,0.260276802,0.336921783,9201.074675,8512.52344,7875.01993,29.56917,1.5
6503,105-05619_PM,105-05619,PM,2016,3,0.337,0.6,3.5,2,3,0.33,8456.973294,39.34,21.65964744,17.8,0.503304525,0.914142303,9234.462302,5276.452977,4907.198536,70.5115103,2.326060606
6504,105-05620_PM,105-05620,PM,2016,5,0.337,0.6,3.5,2,3,0.79,8456.973294,36.89,15.36934829,12.94,1.284901057,3.084060502,10773.8701,4690.404805,4382.868041,85.02887405,5.801518987
6505,105-05621_PM,105-05621,PM,2016,1,0.337,0.6,3.5,2,3,0.15,8456.973294,39.36,19.136806,12.502,0.228658537,0.470297917,9941.497981,4476.2627,4216.91162,48.7907,2.04
6506,105-05622_PM,105-05622,PM,2016,2,0.337,0.6,3.5,2,3,0.33,8456.973294,38.38,16.64635684,12.82,0.515893695,1.189449451,10560.63031,6505.371627,6222.740984,124.7460342,4.056969697
6507,105-05623_PM,105-05623,PM,2016,2,0.337,0.6,3.5,2,3,0.26,8456.973294,36.02,17.71309753,14.13,0.433092726,0.880704234,9878.519143,5445.58838,5168.844545,85.521105,1.74
6508,105-05624_PM,105-05624,PM,2016,6,0.337,0.6,3.5,2,3,0.78,8456.973294,34.65,18.80871658,16,1.350649351,2.48820805,9317.404397,5445.4528,5177.725233,91.67363833,2.996666667
6509,105-05625_PM,105-05625,PM,2016,2,0.337,0.6,3.5,2,3,0.26,8456.973294,35.88,18.63119099,15.364,0.434782609,0.837305571,9572.693903,5780.83008,5513.74806,118.732855,3.625
6510,105-05626_PM,105-05626,PM,2016,2,0.337,0.6,3.5,2,3,0.26,8456.973294,34.36,21.84731892,17.674,0.454016298,0.714046426,8345.335668,5594.32397,5334.86389,108.281115,2.705
6511,105-05627_PM,105-05627,PM,2016,1,0.337,0.6,3.5,2,3,0.13,8456.973294,33.55,21.31587852,15.698,0.232488823,0.365924397,8350.373521,5574.09814,5303.6289,108.74281,3.84
6512,105-05628_PM,105-05628,PM,2016,1,0.337,0.6,3.5,2,3,0.13,8456.973294,32.98,20.62992416,16.59,0.236506974,0.37809155,8451.526768,5932.09229,5641.19797,128.63984,5.68
6513,105-05629_PM,105-05629,PM,2016,2,0.337,0.6,3.5,2,3,0.42,8456.973294,34.66,13.60932692,10,0.727062897,1.851671294,11084.67552,7832.856443,7432.308426,229.9625605,6.77047619
6514,105-05630_PM,105-05630,PM,2016,1,0.337,0.6,3.5,2,3,0.51,8456.973294,40.5,21.8195279,13,0.755555556,1.402413478,9361.096973,5581.73633,5303.61451,132.64273,2.97
6515,105-05631_PM,105-05631,PM,2016,4,0.337,0.6,3.5,2,3,0.53,8456.973294,37.64,17.40158458,14.35,0.844845909,1.827419788,10217.38273,5326.594764,5067.79838,117.6248121,0.958301887
6516,105-05632_PM,105-05632,PM,2016,1,0.337,0.6,3.5,2,3,0.13,8456.973294,34.27,13.65699782,9,0.227604319,0.571135773,11007.33117,5424.24902,5176.19797,139.90052,2.32
6517,105-05633_PM,105-05633,PM,2016,1,0.337,0.6,3.5,2,3,0.13,8456.973294,33.06,19.10176275,11.158,0.235934664,0.408339277,8946.924688,5485.19922,5226.5061,153.33818,1.02
6518,105-05634_PM,105-05634,PM,2016,1,0.337,0.6,3.5,2,3,0.13,8456.973294,35.61,20.47265993,13.09,0.219039596,0.380995925,8977.10107,4691.43457,4472.69075,135.12015,2.43
6519,105-05636_PM,105-05636,PM,2016,1,0.337,0.6,3.5,2,3,0.15,8011.869436,23.28,5.945528017,3.9,0.386597938,1.513742762,12586.25182,1739.22278,1529.18069,277.28651,13.16
6520,105-05637_PM,105-05637,PM,2016,3,0.337,0.6,3.5,2,3,0.08,7566.765579,29.12,6.804914163,4.76,0.164835165,0.705372601,12293.06513,1639.206345,1439.576929,251.8076013,4.9125
6521,105-05638_PM,105-05638,PM,2016,1,0.337,0.6,3.5,2,3,0.07,7566.765579,26.6,7.289311828,4.55,0.157894737,0.576186079,11566.03646,3237.07593,2832.51808,364.97443,11.67
6522,105-05639_PM,105-05639,PM,2016,3,0.337,0.6,3.5,2,3,0.27,7566.765579,25.28,7.715493562,4.17,0.640822785,2.099671248,11075.757,2785.36652,2501.11957,317.3917611,22.35296296
6523,105-05640_PM,105-05640,PM,2016,1,0.337,0.6,3.5,2,3,0.07,7566.765579,28.7,10.47647186,5.746,0.146341463,0.400898323,10256.19632,3409.20435,3086.43796,420.91625,15.7
6524,105-05641_PM,105-05641,PM,2016,6,0.337,0.6,3.5,2,3,0.18,7566.765579,26.92,10.31993569,6.77,0.401188707,1.046518149,10029.43414,4067.882243,3670.83795,452.68346,4.935
6525,105-05642_PM,105-05642,PM,2016,2,0.337,0.6,3.5,2,3,0.06,7566.765579,25.33,11.73662309,7.374,0.142123964,0.306732181,9131.028409,2205.842165,1932.141925,316.05436,4.925
6526,105-05643_PM,105-05643,PM,2016,5,0.337,0.6,3.5,2,3,0.21,7566.765579,25.88,11.9737149,9,0.486862442,1.052304995,9138.22788,2176.875517,1907.778544,302.4081005,6.530952381
6527,105-05644_PM,105-05644,PM,2016,2,0.337,0.6,3.5,2,3,0.06,7566.765579,25.57,14.19298458,10.118,0.140789988,0.253646439,8219.664629,2729.586425,2393.30052,420.61806,6.375
6528,105-05645_PM,105-05645,PM,2016,1,0.337,0.6,3.5,2,3,0.07,7566.765579,26.92,13.01512141,8,0.156017831,0.322701561,8922.797947,3412.18677,3062.4665,443.333,9.12
6529,105-05646_PM,105-05646,PM,2016,6,0.337,0.6,3.5,2,3,0.42,7863.501484,26.44,12.75523861,10.072,0.953101362,1.975658846,9283.879898,3773.321368,3391.947958,562.440965,9.995
6530,105-05647_PM,105-05647,PM,2016,6,0.337,0.6,3.5,2,3,0.42,8011.869436,23.05,13.3722103,9.928,1.093275488,1.884505211,8452.734253,3968.540692,3529.087413,526.9094433,9.893333333
6531,105-05651_PM,105-05651,PM,2016,1,0.337,0.6,3.5,2,3,0.09,8456.973294,26.03,13.56834248,11,0.207452939,0.397985237,9550.869074,5027.50195,4569.57828,304.89533,8.86
6533,105-05654_PM,105-05654,PM,2016,3,0.337,0.83,5.5,1,3,0.1243,9884.671669,35.6,14.51856366,9.38,0.209494382,0.513687178,10942.72797,5095.036834,4733.410484,157.0012013,3.612228479
6535,105-06023_PM,105-06023,PM,2016,8,0.337,0.6,3.5,2,2,0.44,5637.982196,26.99,16.91818594,14,0.978140052,1.56045099,5625.395095,435.0732341,397.5479127,22.04518682,0.874090909
6536,105-06024_PM,105-06024,PM,2016,11,0.337,0.6,3.5,2,3,0.64,8456.973294,40.52,27.86362916,23.53,0.947680158,1.37814065,7810.482982,1776.380977,1711.30524,40.17446641,0.65515625
6537,105-06025_PM,105-06025,PM,2016,4,0.337,0.6,3.5,2,3,0.39,8456.973294,35.4,29.23983923,26,0.661016949,0.800277998,6271.162427,2128.431681,2050.684473,58.70010487,0.829487179
6538,105-06027_PM,105-06027,PM,2016,8,0.337,0.6,8.5,4,1,0.48,1038.575668,20.8,15.2632914,14,1.384615385,1.886880047,978.8736545,120.3096125,113.2111725,3.81765,0.2575
6539,105-06028_PM,105-06028,PM,2016,12,0.337,0.6,3.5,2,2.142857143,0.7,6040.69521,22.97,11.15881057,9,1.82847192,3.763842009,7104.319571,3324.398363,3057.989754,161.1762673,4.617714286
6540,105-06029_PM,105-06029,PM,2016,15,0.337,0.6,3.5,2,3,0.88064,8456.973294,26.35,13.97996788,11.97,2.005252372,3.779579499,9449.7167,4862.607984,4499.375103,221.9208944,4.793268532
6541,105-06030_PM,105-06030,PM,2016,7,0.337,0.6,3.5,2,3,0.38,8456.973294,26.23,14.6075188,11.61,0.869233702,1.560840025,9167.170043,3856.687607,3494.796805,258.8079347,3.888947368
6542,105-06031_PM,105-06031,PM,2016,4,0.337,0.6,3.5,2,2.310344828,0.58,6374.705822,32.1,21.3795027,17,1.08411215,1.62772729,6056.103856,4497.128132,4185.973492,411.5027652,15.8262069
6543,105-06032_PM,105-06032,PM,2016,2,0.337,0.6,3.5,2,3.655172414,0.29,9761.588049,31.14,20.2534298,15.734,0.558766859,0.859113749,9459.651092,5468.421152,5042.242386,474.3048907,9.682758621
6544,105-06033_PM,105-06033,PM,2016,3,0.337,0.6,8.5,4,3.311495932,0.4793,8639.453803,28.37,20.09367914,17.476,1.013676419,1.431196338,8265.438282,5010.097865,4565.056297,529.1644304,10.91699979
6545,105-06034_PM,105-06034,PM,2016,4,0.337,0.6,3.5,2,2.25,0.36,5675.074184,16.29,8.528806452,6.83,1.325966851,2.532593526,6392.255356,3074.980653,2770.156868,420.51288,17.07
6546,105-06035_PM,105-06035,PM,2016,6,0.337,0.6,3.5,2,2,0.46,5044.510386,15.81,7.209375673,5.77,1.74573055,3.828348147,6139.023934,2892.038595,2549.334365,571.113113,53.78826087
6547,105-06036_PM,105-06036,PM,2016,2,0.337,0.6,3.5,2,2,0.18,5044.510386,17.64,6.107525656,4.25,0.612244898,1.768310214,6999.674784,1917.63788,1617.705905,295.21456,38.06
6548,105-06038_PM,105-06038,PM,2016,4,0.337,0.6,8.5,4,3,0.36,5786.350148,27.85,21.64730519,18,0.775583483,0.997814731,5304.482045,4505.6803,4361.29721,257.116945,10
6549,105-06039_PM,105-06039,PM,2016,6,0.337,0.6,3.5,2,3,0.43,8011.869436,23.69,16.08840391,13.81,1.089067117,1.6036395,7483.216571,4709.003304,4535.524431,292.1846753,8.387674419
6550,105-06040_PM,105-06040,PM,2016,7,0.337,0.6,3.5,2,2.428571429,0.63,6485.799067,23.03,14.9737432,12.58,1.641337386,2.524418878,6286.883255,2407.40105,2299.791406,198.2274757,9.004444444
6551,105-06130_PM,105-06130,PM,2016,2,0.337,0.6,3.5,2,3,0.13,8456.973294,32.15,16.29191558,11.62,0.242612753,0.478765064,9710.717888,6341.482082,6069.304728,119.51567,6.856923077
6552,105-06131_PM,105-06131,PM,2016,7,0.337,0.6,3.5,2,3,0.63,8456.973294,27.99,14.96061966,11.67,1.350482315,2.526633312,9406.976992,5368.104563,5020.862997,292.8656643,14.36
6553,105-06132_PM,105-06132,PM,2016,3,0.337,0.6,8.5,4,1,0.27,890.2077151,15.9,9.62539823,8.292,1.018867925,1.683047248,898.9355488,163.54713,150.27008,44.02002667,4.063333333
6554,105-06466_PM,105-06466,PM,2016,3,0.337,0.6,3.5,2,2,0.37,5341.246291,33.26,10.14954839,5.77,0.667468431,2.187289439,7818.64164,4268.852709,3692.986017,264.6938959,11.56594595
6555,105-06467_PM,105-06467,PM,2016,3,0.337,0.6,3.5,2,2.5,0.24,6305.637982,29.05,9.216756466,4.648,0.495697074,1.562371758,9082.482531,3308.55261,2979.5058,223.731385,2.7025
6556,105-06468_PM,105-06468,PM,2016,12,0.337,0.6,3.5,2,2.084378177,1.1804,5440.895658,24.87,11.30559829,8.88,2.847768396,6.264507033,6632.202544,2734.199692,2473.657905,368.0159591,14.89828363
6557,105-06471_PM,105-06471,PM,2016,5,0.337,0.6,3.5,2,3.8,0.45,10474.77745,31.1,21.98104689,18.53,0.868167203,1.22833094,9426.658287,6879.85039,6492.300888,378.09192,9.01
6558,105-06472_PM,105-06472,PM,2016,1,0.337,0.6,3.5,2,4,0.09,10682.49258,31.23,18.12888644,13,0.172910663,0.297867165,11265.59842,7689.21631,7275.14221,427.89585,22.2
6559,105-06473_PM,105-06473,PM,2016,6,0.337,0.6,3.5,2,3.735935456,0.36688,9977.275698,23.4,17.02526998,14,0.940717949,1.29294866,8719.717454,8433.245164,7977.429277,394.6448191,9.014812473
6560,105-06544_PM,105-06544,PM,2016,10,0.337,0.6,3.5,2,2.273584906,1.06,6071.888472,23.28,14.79572406,13,2.731958763,4.298539209,5993.810632,3092.2273,2857.180693,279.3381153,7.09990566
6561,105-06545_PM,105-06545,PM,2016,5,0.337,0.6,3.5,2,2.965018094,0.3316,7918.445949,23.64,13.35522755,10.888,0.841624365,1.489753725,8503.7237,3784.99022,3455.321717,498.5074781,5.691966224
6562,105-06595_PM,105-06595,PM,2016,2,0.337,0.6,3.5,3,2,0.09315,3857.566766,18.6,12.77632132,9,0.300483871,0.437449862,3566.240996,3081.27224,2688.918804,383.7581107,12.9313956
6563,105-06597_PM,105-06597,PM,2016,1,0.337,0.6,3.5,2,2,0.8,5637.982196,47.09,36.12766296,33.662,1.019324697,1.328621784,4640.097836,2436.72607,2214.57226,33.91747,1.22
6564,105-06598_PM,105-06598,PM,2016,1,0.337,0.6,3.5,2,2,1.98,5637.982196,36.17,29.02505935,26.77,3.284489909,4.093014887,4370.926347,1830.72534,1686.54592,72.66965,3.19
6565,105-06601_PM,105-06601,PM,2016,2,0.337,0.6,3.5,2,2,0.51,5637.982196,35.33,22.32363508,17.014,0.866119445,1.3707445,5590.851025,1702.916478,1568.326936,96.80356941,2.114117647
6566,105-06602_PM,105-06602,PM,2016,2,0.337,0.6,3.5,2,2,0.26,5637.982196,30.59,19.47886414,15,0.509970579,0.800868053,5557.128469,644.12469,595.42892,47.69711154,0.99
6567,105-06613_PM,105-06613,PM,2016,7,0.337,0.6,3.5,2,3,0.23997,7566.765579,17.08,8.481611171,6,0.842985948,1.697578409,8790.071631,4466.717907,3839.527951,325.5140011,18.55459391
6569,105-07766_PM,105-07766,PM,2016,1,0.337,0.71,2.1,1,2,0.48,8605.341246,51.28,43.00802575,41,0.561622465,0.669642456,4620.335224,4885.65967,4412.35145,51.1321,0.63
6570,105-07767_PM,105-07767,PM,2016,4,0.337,0.6,3.5,2,2,0.57,5637.982196,42.43,34.79646893,30.018,0.806033467,0.982858349,4229.389815,2298.166882,2066.479427,27.61106105,0.234912281
6571,105-07768_PM,105-07768,PM,2016,1,0.337,0.6,3.5,2,2,0.13,5637.982196,36.16,29.78536873,26,0.215707965,0.261873542,4199.616696,1495.24939,1343.76206,23.02397,0.29
